data_notificacao,num_casos,MM_casos
2020-06-04,208,142.4
2020-06-05,154,144.7
2020-06-06,171,159.6
2020-06-07,115,166.7
2020-06-08,213,175.9
2020-06-09,206,176.7
2020-06-10,195,180.3
2020-06-11,123,168.1
2020-06-12,150,167.6
2020-06-13,76,154.0
2020-06-14,117,154.3
2020-06-15,206,153.3
2020-06-16,211,154.0
2020-06-17,173,150.9
2020-06-18,164,156.7
2020-06-19,176,160.4
2020-06-20,143,170.0
2020-06-21,152,175.0
2020-06-22,198,173.9
2020-06-23,285,184.4
2020-06-24,241,194.1
2020-06-25,226,203.0
2020-06-26,240,212.1
2020-06-27,138,211.4
2020-06-28,106,204.9
2020-06-29,232,209.7
2020-06-30,351,219.1
2020-07-01,319,230.3
2020-07-02,359,249.3
2020-07-03,408,273.3
2020-07-04,249,289.1
2020-07-05,122,291.4
2020-07-06,459,323.9
2020-07-07,474,341.4
2020-07-08,587,379.7
2020-07-09,520,402.7
2020-07-10,404,402.1
2020-07-11,280,406.6
2020-07-12,160,412.0
2020-07-13,470,413.6
2020-07-14,405,403.7
2020-07-15,392,375.9
2020-07-16,383,356.3
2020-07-17,298,341.1
2020-07-18,139,321.0
2020-07-19,75,308.9
2020-07-20,319,287.3
2020-07-21,669,325.0
2020-07-22,519,343.1
2020-07-23,568,369.6
2020-07-24,448,391.0
2020-07-25,214,401.7
2020-07-26,176,416.1
2020-07-27,567,451.6
2020-07-28,507,428.4
2020-07-29,564,434.9
2020-07-30,670,449.4
2020-07-31,665,480.4
2020-08-01,327,496.6
2020-08-02,198,499.7
2020-08-03,888,545.6
2020-08-04,992,614.9
2020-08-05,822,651.7
2020-08-06,726,659.7
2020-08-07,814,681.0
2020-08-08,303,677.6
2020-08-09,170,673.6
2020-08-10,783,658.6
2020-08-11,1147,680.7
2020-08-12,1236,739.9
2020-08-13,1085,791.1
2020-08-14,809,790.4
2020-08-15,232,780.3
2020-08-16,186,782.6
2020-08-17,1165,837.1
2020-08-18,813,789.4
2020-08-19,764,722.0
2020-08-20,561,647.1
2020-08-21,659,625.7
2020-08-22,310,636.9
2020-08-23,167,634.1
2020-08-24,950,603.4
2020-08-25,865,610.9
2020-08-26,795,615.3
2020-08-27,870,659.4
2020-08-28,841,685.4
2020-08-29,195,669.0
2020-08-30,173,669.9
2020-08-31,728,638.1
2020-09-01,715,616.7
2020-09-02,852,624.9
2020-09-03,741,606.4
2020-09-04,463,552.4
2020-09-05,292,566.3
2020-09-06,139,561.4
2020-09-07,276,496.9
2020-09-08,795,508.3
2020-09-09,748,493.4
2020-09-10,759,496.0
2020-09-11,717,532.3
2020-09-12,476,558.6
2020-09-13,427,599.7
2020-09-14,1239,737.3
2020-09-15,1186,793.1
2020-09-16,683,783.9
2020-09-17,578,758.0
2020-09-18,688,753.9
2020-09-19,342,734.7
2020-09-20,121,691.0
2020-09-21,662,608.6
2020-09-22,633,529.6
2020-09-23,480,500.6
2020-09-24,503,489.9
2020-09-25,435,453.7
2020-09-26,318,450.3
2020-09-27,59,441.4
2020-09-28,523,421.6
2020-09-29,410,389.7
2020-09-30,415,380.4
2020-10-01,459,374.1
2020-10-02,453,376.7
2020-10-03,150,352.7
2020-10-04,89,357.0
2020-10-05,302,325.4
2020-10-06,230,299.7
2020-10-07,184,266.7
2020-10-08,305,244.7
2020-10-09,94,193.4
2020-10-10,22,175.1
2020-10-11,11,164.0
2020-10-12,10,122.3
2020-10-13,23,92.7
2020-10-14,11,68.0
2020-10-15,16,26.7
2020-10-16,3,13.7
