Date,Zone,Count,CEP,Location,Category
2020-06-03,Setor Bueno ,151,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-04,Setor Bueno ,152,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-05,Setor Bueno ,166,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-06,Setor Bueno ,166,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-07,Setor Bueno ,170,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-08,Setor Bueno ,170,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-09,Setor Bueno ,170,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-10,Setor Bueno ,183,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-11,Setor Bueno ,183,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-12,Setor Bueno ,183,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-13,Setor Bueno ,187,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-15,Setor Bueno ,187,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-16,Setor Bueno ,187,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-17,Setor Bueno ,187,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-18,Setor Bueno ,187,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-19,Setor Bueno ,187,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-20,Setor Bueno ,187,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-21,Setor Bueno ,230,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-22,Setor Bueno ,230,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-23,Setor Bueno ,255,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-24,Setor Bueno ,272,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-25,Setor Bueno ,272,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-26,Setor Bueno ,278,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-28,Setor Bueno ,278,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-29,Setor Bueno ,303,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-06-30,Setor Bueno ,308,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-13,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-14,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-15,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-16,Setor Bueno ,487,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-17,Setor Bueno ,498,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-18,Setor Bueno ,498,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-19,Setor Bueno ,498,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-20,Setor Bueno ,512,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-21,Setor Bueno ,512,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-22,Setor Bueno ,519,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-23,Setor Bueno ,519,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-24,Setor Bueno ,519,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-25,Setor Bueno ,519,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-27,Setor Bueno ,519,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-28,Setor Bueno ,519,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-29,Setor Bueno ,519,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-30,Setor Bueno ,519,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-31,Setor Bueno ,696,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-01,Setor Bueno ,308,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-02,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-03,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-04,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-06,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-07,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-08,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-09,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-07-10,Setor Bueno ,322,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-25,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-26,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-27,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-28,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-31,Setor Bueno ,1305,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-01,Setor Bueno ,696,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-02,Setor Bueno ,696,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-03,Setor Bueno ,696,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-04,Setor Bueno ,772,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-05,Setor Bueno ,772,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-06,Setor Bueno ,772,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-07,Setor Bueno ,772,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-08,Setor Bueno ,913,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-09,Setor Bueno ,913,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-10,Setor Bueno ,913,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-11,Setor Bueno ,913,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-12,Setor Bueno ,978,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-13,Setor Bueno ,978,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-14,Setor Bueno ,978,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-17,Setor Bueno ,1055,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-18,Setor Bueno ,1055,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-19,Setor Bueno ,1055,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-20,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-21,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-22,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-23,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-08-24,Setor Bueno ,1135,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-01,Setor Bueno ,1375,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-02,Setor Bueno ,1375,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-03,Setor Bueno ,1375,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-04,Setor Bueno ,1391,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-05,Setor Bueno ,1391,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-06,Setor Bueno ,1479,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-07,Setor Bueno ,1479,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-08,Setor Bueno ,1479,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-09,Setor Bueno ,1479,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-10,Setor Bueno ,1479,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-11,Setor Bueno ,1479,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-14,Setor Bueno ,1606,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-15,Setor Bueno ,1606,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-16,Setor Bueno ,1719,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-09-17,Setor Bueno ,1719,74223-010,"-16.6956937,-49.2640252",Confirmed
2020-05-02,Setor Oeste ,39,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-04-29,Setor Oeste ,35,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-04-30,Setor Oeste ,39,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-03,Setor Oeste ,39,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-11,Setor Oeste ,57,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-16,Setor Oeste ,71,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-17,Setor Oeste ,71,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-18,Setor Oeste ,71,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-21,Setor Oeste ,73,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-01,Setor Oeste ,39,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-04,Setor Oeste ,40,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-05,Setor Oeste ,43,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-06,Setor Oeste ,43,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-07,Setor Oeste ,43,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-08,Setor Oeste ,53,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-09,Setor Oeste ,53,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-10,Setor Oeste ,53,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-12,Setor Oeste ,57,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-13,Setor Oeste ,62,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-14,Setor Oeste ,62,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-15,Setor Oeste ,70,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-19,Setor Oeste ,71,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-20,Setor Oeste ,72,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-22,Setor Oeste ,73,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-23,Setor Oeste ,80,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-24,Setor Oeste ,80,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-25,Setor Oeste ,81,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-26,Setor Oeste ,81,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-27,Setor Oeste ,81,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-28,Setor Oeste ,84,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-29,Setor Oeste ,90,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-30,Setor Oeste ,90,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-31,Setor Oeste ,93,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-01,Setor Oeste ,99,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-02,Setor Oeste ,99,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-03,Setor Oeste ,101,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-04,Setor Oeste ,101,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-05,Setor Oeste ,103,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-06,Setor Oeste ,103,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-07,Setor Oeste ,105,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-08,Setor Oeste ,105,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-09,Setor Oeste ,105,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-10,Setor Oeste ,115,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-11,Setor Oeste ,115,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-12,Setor Oeste ,115,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-13,Setor Oeste ,118,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-15,Setor Oeste ,119,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-16,Setor Oeste ,120,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-17,Setor Oeste ,120,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-18,Setor Oeste ,120,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-19,Setor Oeste ,120,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-20,Setor Oeste ,120,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-21,Setor Oeste ,145,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-22,Setor Oeste ,145,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-23,Setor Oeste ,164,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-24,Setor Oeste ,176,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-25,Setor Oeste ,176,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-26,Setor Oeste ,187,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-28,Setor Oeste ,187,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-29,Setor Oeste ,201,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-06-30,Setor Oeste ,202,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-13,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-14,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-15,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-16,Setor Oeste ,296,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-17,Setor Oeste ,306,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-18,Setor Oeste ,306,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-19,Setor Oeste ,306,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-20,Setor Oeste ,316,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-21,Setor Oeste ,316,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-22,Setor Oeste ,319,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-23,Setor Oeste ,319,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-24,Setor Oeste ,319,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-25,Setor Oeste ,319,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-27,Setor Oeste ,319,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-28,Setor Oeste ,319,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-29,Setor Oeste ,319,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-30,Setor Oeste ,319,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-31,Setor Oeste ,460,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-01,Setor Oeste ,202,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-02,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-03,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-04,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-06,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-07,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-08,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-09,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-07-10,Setor Oeste ,212,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-25,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-26,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-27,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-28,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-31,Setor Oeste ,769,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-01,Setor Oeste ,460,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-02,Setor Oeste ,460,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-03,Setor Oeste ,460,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-04,Setor Oeste ,517,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-05,Setor Oeste ,517,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-06,Setor Oeste ,517,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-07,Setor Oeste ,517,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-08,Setor Oeste ,578,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-09,Setor Oeste ,578,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-10,Setor Oeste ,578,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-11,Setor Oeste ,578,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-12,Setor Oeste ,625,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-13,Setor Oeste ,625,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-14,Setor Oeste ,625,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-17,Setor Oeste ,641,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-18,Setor Oeste ,641,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-19,Setor Oeste ,641,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-20,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-21,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-22,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-23,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-08-24,Setor Oeste ,668,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-01,Setor Oeste ,805,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-02,Setor Oeste ,805,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-03,Setor Oeste ,805,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-04,Setor Oeste ,819,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-05,Setor Oeste ,819,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-06,Setor Oeste ,866,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-07,Setor Oeste ,866,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-08,Setor Oeste ,866,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-09,Setor Oeste ,866,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-10,Setor Oeste ,866,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-11,Setor Oeste ,866,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-14,Setor Oeste ,946,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-15,Setor Oeste ,946,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-16,Setor Oeste ,1008,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-09-17,Setor Oeste ,1008,74115-040,"-16.6616973,-49.2784421",Confirmed
2020-05-02,Jd. Goiás ,18,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-04-29,Jd. Goiás ,17,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-04-30,Jd. Goiás ,18,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-03,Jd. Goiás ,18,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-11,Jd. Goiás ,25,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-16,Jd. Goiás ,28,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-17,Jd. Goiás ,28,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-18,Jd. Goiás ,28,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-21,Jd. Goiás ,31,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-01,Jd. Goiás ,18,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-04,Jd. Goiás ,18,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-05,Jd. Goiás ,21,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-06,Jd. Goiás ,21,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-07,Jd. Goiás ,22,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-08,Jd. Goiás ,22,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-09,Jd. Goiás ,22,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-10,Jd. Goiás ,22,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-12,Jd. Goiás ,25,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-13,Jd. Goiás ,25,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-14,Jd. Goiás ,25,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-15,Jd. Goiás ,28,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-19,Jd. Goiás ,28,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-20,Jd. Goiás ,29,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-22,Jd. Goiás ,31,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-23,Jd. Goiás ,38,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-24,Jd. Goiás ,38,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-25,Jd. Goiás ,38,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-26,Jd. Goiás ,38,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-27,Jd. Goiás ,38,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-28,Jd. Goiás ,38,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-29,Jd. Goiás ,42,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-30,Jd. Goiás ,42,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-05-31,Jd. Goiás ,42,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-01,Jd. Goiás ,43,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-02,Jd. Goiás ,43,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-03,Jd. Goiás ,44,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-04,Jd. Goiás ,44,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-05,Jd. Goiás ,49,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-06,Jd. Goiás ,49,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-07,Jd. Goiás ,50,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-08,Jd. Goiás ,50,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-09,Jd. Goiás ,50,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-10,Jd. Goiás ,55,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-11,Jd. Goiás ,55,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-12,Jd. Goiás ,56,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-13,Jd. Goiás ,63,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-15,Jd. Goiás ,63,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-16,Jd. Goiás ,64,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-17,Jd. Goiás ,64,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-18,Jd. Goiás ,64,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-19,Jd. Goiás ,64,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-20,Jd. Goiás ,64,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-21,Jd. Goiás ,100,74805-105,"-16.687821,-49.24447050000001",Confirmed
2020-06-22,Jd. Goiás ,100,74805-105,"-16.687821,-49.24447050000001",Confirmed
