data,bairro,qtd_casos,regiao
2020-06-15,Setor Bueno,187,Sul
2020-06-16,Setor Bueno,187,Sul
2020-06-17,Setor Bueno,187,Sul
2020-06-18,Setor Bueno,187,Sul
2020-06-19,Setor Bueno,187,Sul
2020-06-20,Setor Bueno,187,Sul
2020-06-21,Setor Bueno,230,Sul
2020-06-22,Setor Bueno,230,Sul
2020-06-23,Setor Bueno,255,Sul
2020-06-24,Setor Bueno,272,Sul
2020-06-25,Setor Bueno,272,Sul
2020-06-26,Setor Bueno,278,Sul
2020-06-28,Setor Bueno,278,Sul
2020-06-29,Setor Bueno,303,Sul
2020-06-30,Setor Bueno,308,Sul
2020-07-13,Setor Bueno,322,Sul
2020-07-14,Setor Bueno,322,Sul
2020-07-15,Setor Bueno,322,Sul
2020-07-16,Setor Bueno,487,Sul
2020-07-17,Setor Bueno,498,Sul
2020-07-18,Setor Bueno,498,Sul
2020-07-19,Setor Bueno,498,Sul
2020-07-20,Setor Bueno,512,Sul
2020-07-21,Setor Bueno,512,Sul
2020-07-22,Setor Bueno,519,Sul
2020-07-23,Setor Bueno,519,Sul
2020-07-24,Setor Bueno,519,Sul
2020-07-25,Setor Bueno,519,Sul
2020-07-27,Setor Bueno,519,Sul
2020-07-28,Setor Bueno,519,Sul
2020-07-29,Setor Bueno,519,Sul
2020-07-30,Setor Bueno,519,Sul
2020-07-31,Setor Bueno,696,Sul
2020-07-01,Setor Bueno,308,Sul
2020-07-02,Setor Bueno,322,Sul
2020-07-03,Setor Bueno,322,Sul
2020-07-04,Setor Bueno,322,Sul
2020-07-06,Setor Bueno,322,Sul
2020-07-07,Setor Bueno,322,Sul
2020-07-08,Setor Bueno,322,Sul
2020-07-09,Setor Bueno,322,Sul
2020-07-10,Setor Bueno,322,Sul
2020-08-25,Setor Bueno,1135,Sul
2020-08-26,Setor Bueno,1135,Sul
2020-08-27,Setor Bueno,1135,Sul
2020-08-28,Setor Bueno,1135,Sul
2020-08-31,Setor Bueno,1305,Sul
2020-08-01,Setor Bueno,696,Sul
2020-08-02,Setor Bueno,696,Sul
2020-08-03,Setor Bueno,696,Sul
2020-08-04,Setor Bueno,772,Sul
2020-08-05,Setor Bueno,772,Sul
2020-08-06,Setor Bueno,772,Sul
2020-08-07,Setor Bueno,772,Sul
2020-08-08,Setor Bueno,913,Sul
2020-08-09,Setor Bueno,913,Sul
2020-08-10,Setor Bueno,913,Sul
2020-08-11,Setor Bueno,913,Sul
2020-08-12,Setor Bueno,978,Sul
2020-08-13,Setor Bueno,978,Sul
2020-08-14,Setor Bueno,978,Sul
2020-08-17,Setor Bueno,1055,Sul
2020-08-18,Setor Bueno,1055,Sul
2020-08-19,Setor Bueno,1055,Sul
2020-08-20,Setor Bueno,1135,Sul
2020-08-21,Setor Bueno,1135,Sul
2020-08-22,Setor Bueno,1135,Sul
2020-08-23,Setor Bueno,1135,Sul
2020-08-24,Setor Bueno,1135,Sul
2020-09-01,Setor Bueno,1375,Sul
2020-09-02,Setor Bueno,1375,Sul
2020-09-03,Setor Bueno,1375,Sul
2020-09-04,Setor Bueno,1391,Sul
2020-09-05,Setor Bueno,1391,Sul
2020-09-06,Setor Bueno,1479,Sul
2020-09-07,Setor Bueno,1479,Sul
2020-09-08,Setor Bueno,1479,Sul
2020-09-09,Setor Bueno,1479,Sul
2020-09-10,Setor Bueno,1479,Sul
2020-09-11,Setor Bueno,1479,Sul
2020-09-14,Setor Bueno,1606,Sul
2020-09-15,Setor Bueno,1606,Sul
2020-09-16,Setor Bueno,1719,Sul
2020-09-17,Setor Bueno,1719,Sul
2020-05-02,Setor Oeste,39,Sul
2020-04-29,Setor Oeste,35,Sul
2020-04-30,Setor Oeste,39,Sul
2020-05-03,Setor Oeste,39,Sul
2020-05-11,Setor Oeste,57,Sul
2020-05-16,Setor Oeste,71,Sul
2020-05-17,Setor Oeste,71,Sul
2020-05-18,Setor Oeste,71,Sul
2020-05-21,Setor Oeste,73,Sul
2020-05-01,Setor Oeste,39,Sul
2020-05-04,Setor Oeste,40,Sul
2020-05-05,Setor Oeste,43,Sul
2020-05-06,Setor Oeste,43,Sul
2020-05-07,Setor Oeste,43,Sul
2020-05-08,Setor Oeste,53,Sul
2020-05-09,Setor Oeste,53,Sul
2020-05-10,Setor Oeste,53,Sul
2020-05-12,Setor Oeste,57,Sul
2020-05-13,Setor Oeste,62,Sul
2020-05-14,Setor Oeste,62,Sul
2020-05-15,Setor Oeste,70,Sul
2020-05-19,Setor Oeste,71,Sul
2020-05-20,Setor Oeste,72,Sul
2020-05-22,Setor Oeste,73,Sul
2020-05-23,Setor Oeste,80,Sul
2020-05-24,Setor Oeste,80,Sul
2020-05-25,Setor Oeste,81,Sul
2020-05-26,Setor Oeste,81,Sul
2020-05-27,Setor Oeste,81,Sul
2020-05-28,Setor Oeste,84,Sul
2020-05-29,Setor Oeste,90,Sul
2020-05-30,Setor Oeste,90,Sul
2020-05-31,Setor Oeste,93,Sul
2020-06-01,Setor Oeste,99,Sul
2020-06-02,Setor Oeste,99,Sul
2020-06-03,Setor Oeste,101,Sul
2020-06-04,Setor Oeste,101,Sul
2020-06-05,Setor Oeste,103,Sul
2020-06-06,Setor Oeste,103,Sul
2020-06-07,Setor Oeste,105,Sul
2020-06-08,Setor Oeste,105,Sul
2020-06-09,Setor Oeste,105,Sul
2020-06-10,Setor Oeste,115,Sul
2020-06-11,Setor Oeste,115,Sul
2020-06-12,Setor Oeste,115,Sul
2020-06-13,Setor Oeste,118,Sul
2020-06-15,Setor Oeste,119,Sul
2020-06-16,Setor Oeste,120,Sul
2020-06-17,Setor Oeste,120,Sul
2020-06-18,Setor Oeste,120,Sul
2020-06-19,Setor Oeste,120,Sul
2020-06-20,Setor Oeste,120,Sul
2020-06-21,Setor Oeste,145,Sul
2020-06-22,Setor Oeste,145,Sul
2020-06-23,Setor Oeste,164,Sul
2020-06-24,Setor Oeste,176,Sul
2020-06-25,Setor Oeste,176,Sul
2020-06-26,Setor Oeste,187,Sul
2020-06-28,Setor Oeste,187,Sul
2020-06-29,Setor Oeste,201,Sul
2020-06-30,Setor Oeste,202,Sul
2020-07-13,Setor Oeste,212,Sul
2020-07-14,Setor Oeste,212,Sul
2020-07-15,Setor Oeste,212,Sul
2020-07-16,Setor Oeste,296,Sul
2020-07-17,Setor Oeste,306,Sul
2020-07-18,Setor Oeste,306,Sul
2020-07-19,Setor Oeste,306,Sul
2020-07-20,Setor Oeste,316,Sul
2020-07-21,Setor Oeste,316,Sul
2020-07-22,Setor Oeste,319,Sul
2020-07-23,Setor Oeste,319,Sul
2020-07-24,Setor Oeste,319,Sul
2020-07-25,Setor Oeste,319,Sul
2020-07-27,Setor Oeste,319,Sul
2020-07-28,Setor Oeste,319,Sul
2020-07-29,Setor Oeste,319,Sul
2020-07-30,Setor Oeste,319,Sul
2020-07-31,Setor Oeste,460,Sul
2020-07-01,Setor Oeste,202,Sul
2020-07-02,Setor Oeste,212,Sul
2020-07-03,Setor Oeste,212,Sul
2020-07-04,Setor Oeste,212,Sul
2020-07-06,Setor Oeste,212,Sul
2020-07-07,Setor Oeste,212,Sul
2020-07-08,Setor Oeste,212,Sul
2020-07-09,Setor Oeste,212,Sul
2020-07-10,Setor Oeste,212,Sul
2020-08-25,Setor Oeste,668,Sul
2020-08-26,Setor Oeste,668,Sul
2020-08-27,Setor Oeste,668,Sul
2020-08-28,Setor Oeste,668,Sul
2020-08-31,Setor Oeste,769,Sul
2020-08-01,Setor Oeste,460,Sul
2020-08-02,Setor Oeste,460,Sul
2020-08-03,Setor Oeste,460,Sul
2020-08-04,Setor Oeste,517,Sul
2020-08-05,Setor Oeste,517,Sul
2020-08-06,Setor Oeste,517,Sul
2020-08-07,Setor Oeste,517,Sul
2020-08-08,Setor Oeste,578,Sul
2020-08-09,Setor Oeste,578,Sul
2020-08-10,Setor Oeste,578,Sul
2020-08-11,Setor Oeste,578,Sul
2020-08-12,Setor Oeste,625,Sul
2020-08-13,Setor Oeste,625,Sul
2020-08-14,Setor Oeste,625,Sul
2020-08-17,Setor Oeste,641,Sul
2020-08-18,Setor Oeste,641,Sul
2020-08-19,Setor Oeste,641,Sul
2020-08-20,Setor Oeste,668,Sul
2020-08-21,Setor Oeste,668,Sul
2020-08-22,Setor Oeste,668,Sul
2020-08-23,Setor Oeste,668,Sul
2020-08-24,Setor Oeste,668,Sul
2020-09-01,Setor Oeste,805,Sul
2020-09-02,Setor Oeste,805,Sul
2020-09-03,Setor Oeste,805,Sul
2020-09-04,Setor Oeste,819,Sul
2020-09-05,Setor Oeste,819,Sul
2020-09-06,Setor Oeste,866,Sul
2020-09-07,Setor Oeste,866,Sul
2020-09-08,Setor Oeste,866,Sul
2020-09-09,Setor Oeste,866,Sul
2020-09-10,Setor Oeste,866,Sul
2020-09-11,Setor Oeste,866,Sul
2020-09-14,Setor Oeste,946,Sul
2020-09-15,Setor Oeste,946,Sul
2020-09-16,Setor Oeste,1008,Sul
2020-09-17,Setor Oeste,1008,Sul
2020-05-02,Jardim Goiás,18,Sul
2020-04-29,Jardim Goiás,17,Sul
2020-04-30,Jardim Goiás,18,Sul
2020-05-03,Jardim Goiás,18,Sul
2020-05-11,Jardim Goiás,25,Sul
2020-05-16,Jardim Goiás,28,Sul
2020-05-17,Jardim Goiás,28,Sul
2020-05-18,Jardim Goiás,28,Sul
2020-05-21,Jardim Goiás,31,Sul
2020-05-01,Jardim Goiás,18,Sul
2020-05-04,Jardim Goiás,18,Sul
2020-05-05,Jardim Goiás,21,Sul
2020-05-06,Jardim Goiás,21,Sul
2020-05-07,Jardim Goiás,22,Sul
2020-05-08,Jardim Goiás,22,Sul
2020-05-09,Jardim Goiás,22,Sul
2020-05-10,Jardim Goiás,22,Sul
2020-05-12,Jardim Goiás,25,Sul
2020-05-13,Jardim Goiás,25,Sul
2020-05-14,Jardim Goiás,25,Sul
2020-05-15,Jardim Goiás,28,Sul
2020-05-19,Jardim Goiás,28,Sul
2020-05-20,Jardim Goiás,29,Sul
2020-05-22,Jardim Goiás,31,Sul
2020-05-23,Jardim Goiás,38,Sul
2020-05-24,Jardim Goiás,38,Sul
2020-05-25,Jardim Goiás,38,Sul
2020-05-26,Jardim Goiás,38,Sul
2020-05-27,Jardim Goiás,38,Sul
2020-05-28,Jardim Goiás,38,Sul
2020-05-29,Jardim Goiás,42,Sul
2020-05-30,Jardim Goiás,42,Sul
2020-05-31,Jardim Goiás,42,Sul
2020-06-01,Jardim Goiás,43,Sul
2020-06-02,Jardim Goiás,43,Sul
2020-06-03,Jardim Goiás,44,Sul
2020-06-04,Jardim Goiás,44,Sul
2020-06-05,Jardim Goiás,49,Sul
2020-06-06,Jardim Goiás,49,Sul
2020-06-07,Jardim Goiás,50,Sul
2020-06-08,Jardim Goiás,50,Sul
2020-06-09,Jardim Goiás,50,Sul
2020-06-10,Jardim Goiás,55,Sul
2020-06-11,Jardim Goiás,55,Sul
2020-06-12,Jardim Goiás,56,Sul
2020-06-13,Jardim Goiás,63,Sul
2020-06-15,Jardim Goiás,63,Sul
2020-06-16,Jardim Goiás,64,Sul
2020-06-17,Jardim Goiás,64,Sul
2020-06-18,Jardim Goiás,64,Sul
2020-06-19,Jardim Goiás,64,Sul
2020-06-20,Jardim Goiás,64,Sul
2020-06-21,Jardim Goiás,100,Sul
2020-06-22,Jardim Goiás,100,Sul
2020-06-23,Jardim Goiás,113,Sul
2020-06-24,Jardim Goiás,122,Sul
2020-06-25,Jardim Goiás,122,Sul
2020-06-26,Jardim Goiás,124,Sul
2020-06-28,Jardim Goiás,124,Sul
2020-06-29,Jardim Goiás,136,Sul
2020-06-30,Jardim Goiás,139,Sul
2020-07-13,Jardim Goiás,147,Sul
2020-07-14,Jardim Goiás,147,Sul
2020-07-15,Jardim Goiás,147,Sul
2020-07-16,Jardim Goiás,194,Sul
2020-07-17,Jardim Goiás,203,Sul
2020-07-18,Jardim Goiás,203,Sul
2020-07-19,Jardim Goiás,203,Sul
2020-07-20,Jardim Goiás,209,Sul
2020-07-21,Jardim Goiás,209,Sul
2020-07-22,Jardim Goiás,216,Sul
2020-07-23,Jardim Goiás,216,Sul
2020-07-24,Jardim Goiás,216,Sul
2020-07-25,Jardim Goiás,216,Sul
2020-07-27,Jardim Goiás,216,Sul
2020-07-28,Jardim Goiás,216,Sul
2020-07-29,Jardim Goiás,216,Sul
2020-07-30,Jardim Goiás,216,Sul
2020-07-31,Jardim Goiás,292,Sul
2020-07-01,Jardim Goiás,139,Sul
2020-07-02,Jardim Goiás,147,Sul
2020-07-03,Jardim Goiás,147,Sul
2020-07-04,Jardim Goiás,147,Sul
2020-07-06,Jardim Goiás,147,Sul
2020-07-07,Jardim Goiás,147,Sul
2020-07-08,Jardim Goiás,147,Sul
2020-07-09,Jardim Goiás,147,Sul
2020-07-10,Jardim Goiás,147,Sul
2020-08-25,Jardim Goiás,448,Sul
2020-08-26,Jardim Goiás,448,Sul
2020-08-27,Jardim Goiás,448,Sul
2020-08-28,Jardim Goiás,448,Sul
2020-08-31,Jardim Goiás,514,Sul
2020-08-01,Jardim Goiás,292,Sul
2020-08-02,Jardim Goiás,292,Sul
2020-08-03,Jardim Goiás,292,Sul
2020-08-04,Jardim Goiás,314,Sul
2020-08-05,Jardim Goiás,314,Sul
2020-08-06,Jardim Goiás,314,Sul
2020-08-07,Jardim Goiás,314,Sul
2020-08-08,Jardim Goiás,365,Sul
2020-08-09,Jardim Goiás,365,Sul
2020-08-10,Jardim Goiás,365,Sul
2020-08-11,Jardim Goiás,365,Sul
2020-08-12,Jardim Goiás,395,Sul
2020-08-13,Jardim Goiás,395,Sul
2020-08-14,Jardim Goiás,395,Sul
2020-08-17,Jardim Goiás,420,Sul
2020-08-18,Jardim Goiás,420,Sul
2020-08-19,Jardim Goiás,420,Sul
2020-08-20,Jardim Goiás,448,Sul
2020-08-21,Jardim Goiás,448,Sul
2020-08-22,Jardim Goiás,448,Sul
2020-08-23,Jardim Goiás,448,Sul
2020-08-24,Jardim Goiás,448,Sul
2020-09-01,Jardim Goiás,545,Sul
2020-09-02,Jardim Goiás,545,Sul
2020-09-03,Jardim Goiás,545,Sul
2020-09-04,Jardim Goiás,555,Sul
2020-09-05,Jardim Goiás,555,Sul
2020-09-06,Jardim Goiás,580,Sul
2020-09-07,Jardim Goiás,580,Sul
2020-09-08,Jardim Goiás,580,Sul
2020-09-09,Jardim Goiás,580,Sul
2020-09-10,Jardim Goiás,580,Sul
2020-09-11,Jardim Goiás,580,Sul
2020-09-14,Jardim Goiás,628,Sul
2020-09-15,Jardim Goiás,628,Sul
2020-09-16,Jardim Goiás,659,Sul
2020-09-17,Jardim Goiás,659,Sul
2020-05-02,Setor Marista,14,Sul
2020-04-29,Setor Marista,13,Sul
2020-04-30,Setor Marista,14,Sul
2020-05-03,Setor Marista,16,Sul
2020-05-11,Setor Marista,22,Sul
2020-05-16,Setor Marista,26,Sul
2020-05-17,Setor Marista,26,Sul
2020-05-18,Setor Marista,26,Sul
2020-05-21,Setor Marista,27,Sul
2020-05-01,Setor Marista,14,Sul
2020-05-04,Setor Marista,18,Sul
2020-05-05,Setor Marista,19,Sul
2020-05-06,Setor Marista,19,Sul
2020-05-07,Setor Marista,19,Sul
2020-05-08,Setor Marista,21,Sul
2020-05-09,Setor Marista,21,Sul
2020-05-10,Setor Marista,21,Sul
2020-05-12,Setor Marista,22,Sul
2020-05-13,Setor Marista,23,Sul
2020-05-14,Setor Marista,23,Sul
2020-05-15,Setor Marista,26,Sul
2020-05-19,Setor Marista,26,Sul
2020-05-20,Setor Marista,27,Sul
2020-05-22,Setor Marista,27,Sul
2020-05-23,Setor Marista,32,Sul
2020-05-24,Setor Marista,32,Sul
2020-05-25,Setor Marista,31,Sul
2020-05-26,Setor Marista,32,Sul
2020-05-27,Setor Marista,31,Sul
2020-05-28,Setor Marista,33,Sul
2020-05-29,Setor Marista,33,Sul
2020-05-30,Setor Marista,33,Sul
2020-05-31,Setor Marista,34,Sul
2020-06-01,Setor Marista,34,Sul
2020-06-02,Setor Marista,34,Sul
2020-06-03,Setor Marista,35,Sul
2020-06-04,Setor Marista,36,Sul
2020-06-05,Setor Marista,41,Sul
2020-06-06,Setor Marista,41,Sul
2020-06-07,Setor Marista,42,Sul
2020-06-08,Setor Marista,42,Sul
2020-06-09,Setor Marista,42,Sul
2020-06-10,Setor Marista,44,Sul
2020-06-11,Setor Marista,44,Sul
2020-06-12,Setor Marista,44,Sul
2020-06-13,Setor Marista,45,Sul
2020-06-15,Setor Marista,45,Sul
2020-06-16,Setor Marista,45,Sul
2020-06-17,Setor Marista,45,Sul
2020-06-18,Setor Marista,45,Sul
2020-06-19,Setor Marista,45,Sul
2020-06-20,Setor Marista,45,Sul
2020-06-21,Setor Marista,58,Sul
2020-06-22,Setor Marista,58,Sul
2020-06-23,Setor Marista,68,Sul
2020-06-24,Setor Marista,73,Sul
2020-06-25,Setor Marista,73,Sul
2020-06-26,Setor Marista,76,Sul
2020-06-28,Setor Marista,76,Sul
2020-06-29,Setor Marista,81,Sul
2020-06-30,Setor Marista,83,Sul
2020-07-13,Setor Marista,88,Sul
2020-07-14,Setor Marista,88,Sul
2020-07-15,Setor Marista,88,Sul
2020-07-16,Setor Marista,114,Sul
2020-07-17,Setor Marista,116,Sul
2020-07-18,Setor Marista,116,Sul
2020-07-19,Setor Marista,116,Sul
2020-07-20,Setor Marista,121,Sul
2020-07-21,Setor Marista,121,Sul
2020-07-22,Setor Marista,124,Sul
2020-07-23,Setor Marista,124,Sul
2020-07-24,Setor Marista,124,Sul
2020-07-25,Setor Marista,124,Sul
2020-07-27,Setor Marista,124,Sul
2020-07-28,Setor Marista,124,Sul
2020-07-29,Setor Marista,124,Sul
2020-07-30,Setor Marista,124,Sul
2020-07-31,Setor Marista,176,Sul
2020-07-01,Setor Marista,83,Sul
2020-07-02,Setor Marista,88,Sul
2020-07-03,Setor Marista,88,Sul
2020-07-04,Setor Marista,88,Sul
2020-07-06,Setor Marista,88,Sul
2020-07-07,Setor Marista,88,Sul
2020-07-08,Setor Marista,88,Sul
2020-07-09,Setor Marista,88,Sul
2020-07-10,Setor Marista,88,Sul
2020-08-25,Setor Marista,288,Sul
2020-08-26,Setor Marista,288,Sul
2020-08-27,Setor Marista,288,Sul
2020-08-28,Setor Marista,288,Sul
2020-08-31,Setor Marista,319,Sul
2020-08-01,Setor Marista,176,Sul
2020-08-02,Setor Marista,176,Sul
2020-08-03,Setor Marista,176,Sul
2020-08-04,Setor Marista,201,Sul
2020-08-05,Setor Marista,201,Sul
2020-08-06,Setor Marista,201,Sul
2020-08-07,Setor Marista,201,Sul
2020-08-08,Setor Marista,234,Sul
2020-08-09,Setor Marista,234,Sul
2020-08-10,Setor Marista,234,Sul
2020-08-11,Setor Marista,234,Sul
2020-08-12,Setor Marista,259,Sul
2020-08-13,Setor Marista,259,Sul
2020-08-14,Setor Marista,259,Sul
2020-08-17,Setor Marista,268,Sul
2020-08-18,Setor Marista,268,Sul
2020-08-19,Setor Marista,268,Sul
2020-08-20,Setor Marista,288,Sul
2020-08-21,Setor Marista,288,Sul
2020-08-22,Setor Marista,288,Sul
2020-08-23,Setor Marista,288,Sul
2020-08-24,Setor Marista,288,Sul
2020-09-01,Setor Marista,329,Sul
2020-09-02,Setor Marista,329,Sul
2020-09-03,Setor Marista,329,Sul
2020-09-04,Setor Marista,330,Sul
2020-09-05,Setor Marista,330,Sul
2020-09-06,Setor Marista,342,Sul
2020-09-07,Setor Marista,342,Sul
2020-09-08,Setor Marista,342,Sul
2020-09-09,Setor Marista,342,Sul
2020-09-10,Setor Marista,342,Sul
2020-09-11,Setor Marista,342,Sul
2020-09-14,Setor Marista,367,Sul
2020-09-15,Setor Marista,367,Sul
2020-09-16,Setor Marista,387,Sul
2020-09-17,Setor Marista,387,Sul
2020-05-02,Parque Amazônia,14,Sul
2020-04-29,Parque Amazônia,12,Sul
2020-04-30,Parque Amazônia,14,Sul
2020-05-03,Parque Amazônia,14,Sul
2020-05-11,Parque Amazônia,15,Sul
2020-05-16,Parque Amazônia,20,Sul
2020-05-17,Parque Amazônia,20,Sul
2020-05-18,Parque Amazônia,23,Sul
2020-05-21,Parque Amazônia,26,Sul
2020-05-01,Parque Amazônia,14,Sul
2020-05-04,Parque Amazônia,14,Sul
2020-05-05,Parque Amazônia,14,Sul
2020-05-06,Parque Amazônia,14,Sul
2020-05-07,Parque Amazônia,14,Sul
2020-05-08,Parque Amazônia,15,Sul
2020-05-09,Parque Amazônia,15,Sul
2020-05-10,Parque Amazônia,15,Sul
2020-05-12,Parque Amazônia,16,Sul
2020-05-13,Parque Amazônia,17,Sul
2020-05-14,Parque Amazônia,17,Sul
2020-05-15,Parque Amazônia,20,Sul
2020-05-19,Parque Amazônia,23,Sul
2020-05-20,Parque Amazônia,24,Sul
2020-05-22,Parque Amazônia,26,Sul
2020-05-23,Parque Amazônia,30,Sul
2020-05-24,Parque Amazônia,31,Sul
2020-05-25,Parque Amazônia,29,Sul
2020-05-26,Parque Amazônia,32,Sul
2020-05-27,Parque Amazônia,29,Sul
2020-05-28,Parque Amazônia,34,Sul
2020-05-29,Parque Amazônia,36,Sul
2020-05-30,Parque Amazônia,36,Sul
2020-05-31,Parque Amazônia,37,Sul
2020-06-01,Parque Amazônia,40,Sul
2020-06-02,Parque Amazônia,40,Sul
2020-06-03,Parque Amazônia,42,Sul
2020-06-04,Parque Amazônia,42,Sul
2020-06-05,Parque Amazônia,49,Sul
2020-06-06,Parque Amazônia,49,Sul
2020-06-07,Parque Amazônia,51,Sul
2020-06-08,Parque Amazônia,51,Sul
2020-06-09,Parque Amazônia,51,Sul
2020-06-10,Parque Amazônia,56,Sul
2020-06-11,Parque Amazônia,56,Sul
2020-06-12,Parque Amazônia,57,Sul
2020-06-13,Parque Amazônia,63,Sul
2020-06-15,Parque Amazônia,63,Sul
2020-06-16,Parque Amazônia,64,Sul
2020-06-17,Parque Amazônia,64,Sul
2020-06-18,Parque Amazônia,64,Sul
2020-06-19,Parque Amazônia,64,Sul
2020-06-20,Parque Amazônia,64,Sul
2020-06-21,Parque Amazônia,96,Sul
2020-06-22,Parque Amazônia,96,Sul
2020-06-23,Parque Amazônia,112,Sul
2020-06-24,Parque Amazônia,118,Sul
2020-06-25,Parque Amazônia,118,Sul
2020-06-26,Parque Amazônia,126,Sul
2020-06-28,Parque Amazônia,126,Sul
2020-06-29,Parque Amazônia,130,Sul
2020-06-30,Parque Amazônia,135,Sul
2020-07-13,Parque Amazônia,142,Sul
2020-07-14,Parque Amazônia,142,Sul
2020-07-15,Parque Amazônia,142,Sul
2020-07-16,Parque Amazônia,193,Sul
2020-07-17,Parque Amazônia,202,Sul
2020-07-18,Parque Amazônia,202,Sul
2020-07-19,Parque Amazônia,202,Sul
2020-07-20,Parque Amazônia,211,Sul
2020-07-21,Parque Amazônia,211,Sul
2020-07-22,Parque Amazônia,218,Sul
2020-07-23,Parque Amazônia,218,Sul
2020-07-24,Parque Amazônia,218,Sul
2020-07-25,Parque Amazônia,218,Sul
2020-07-27,Parque Amazônia,218,Sul
2020-07-28,Parque Amazônia,218,Sul
2020-07-29,Parque Amazônia,218,Sul
2020-07-30,Parque Amazônia,218,Sul
2020-07-31,Parque Amazônia,287,Sul
2020-07-01,Parque Amazônia,135,Sul
2020-07-02,Parque Amazônia,142,Sul
2020-07-03,Parque Amazônia,142,Sul
2020-07-04,Parque Amazônia,142,Sul
2020-07-06,Parque Amazônia,142,Sul
2020-07-07,Parque Amazônia,142,Sul
2020-07-08,Parque Amazônia,142,Sul
2020-07-09,Parque Amazônia,142,Sul
2020-07-10,Parque Amazônia,142,Sul
2020-08-25,Parque Amazônia,510,Sul
2020-08-26,Parque Amazônia,510,Sul
2020-08-27,Parque Amazônia,510,Sul
2020-08-28,Parque Amazônia,510,Sul
2020-08-31,Parque Amazônia,583,Sul
2020-08-01,Parque Amazônia,287,Sul
2020-08-02,Parque Amazônia,287,Sul
2020-08-03,Parque Amazônia,287,Sul
2020-08-04,Parque Amazônia,320,Sul
2020-08-05,Parque Amazônia,320,Sul
2020-08-06,Parque Amazônia,320,Sul
2020-08-07,Parque Amazônia,320,Sul
2020-08-08,Parque Amazônia,399,Sul
2020-08-09,Parque Amazônia,399,Sul
2020-08-10,Parque Amazônia,399,Sul
2020-08-11,Parque Amazônia,399,Sul
2020-08-12,Parque Amazônia,432,Sul
2020-08-13,Parque Amazônia,432,Sul
2020-08-14,Parque Amazônia,432,Sul
2020-08-17,Parque Amazônia,475,Sul
2020-08-18,Parque Amazônia,475,Sul
2020-08-19,Parque Amazônia,475,Sul
2020-08-20,Parque Amazônia,510,Sul
2020-08-21,Parque Amazônia,510,Sul
2020-08-22,Parque Amazônia,510,Sul
2020-08-23,Parque Amazônia,510,Sul
2020-08-24,Parque Amazônia,510,Sul
2020-09-01,Parque Amazônia,631,Sul
2020-09-02,Parque Amazônia,631,Sul
2020-09-03,Parque Amazônia,631,Sul
2020-09-04,Parque Amazônia,644,Sul
2020-09-05,Parque Amazônia,644,Sul
2020-09-06,Parque Amazônia,683,Sul
2020-09-07,Parque Amazônia,683,Sul
2020-09-08,Parque Amazônia,683,Sul
2020-09-09,Parque Amazônia,683,Sul
2020-09-10,Parque Amazônia,683,Sul
2020-09-11,Parque Amazônia,683,Sul
2020-09-14,Parque Amazônia,768,Sul
2020-09-15,Parque Amazônia,768,Sul
2020-09-16,Parque Amazônia,838,Sul
2020-09-17,Parque Amazônia,838,Sul
2020-05-02,Jardim América,13,Sul
2020-04-29,Jardim América,10,Sul
2020-04-30,Jardim América,13,Sul
2020-05-03,Jardim América,14,Sul
2020-05-11,Jardim América,23,Sul
2020-05-16,Jardim América,29,Sul
2020-05-17,Jardim América,29,Sul
2020-05-18,Jardim América,31,Sul
