Conjunto Vera Cruz ,Jardim América ,Jd. Balneário Meia Ponte ,Jd. Curitiba ,Jd. Goiás ,Jd. Guanabara ,Jd. Nova Esperanca ,Jd. Novo Mundo ,Parque Amazônia ,Setor Bueno ,Setor Central ,Setor Leste Universitário ,Setor Marista ,Setor Oeste ,Setor Pedro Ludovico ,Setor Urias Magalhaes ,Vila Itatiaia ,Vila Jardim São Judas Tadeu 
131.0,280.0,99.0,128.0,203.0,296.0,114.0,215.0,202.0,498.0,132.0,158.0,116.0,306.0,175.0,89.0,37.0,34.0
139.0,288.0,102.0,130.0,209.0,306.0,121.0,223.0,211.0,512.0,137.0,166.0,121.0,316.0,179.0,94.0,37.0,35.0
139.0,288.0,102.0,130.0,209.0,306.0,121.0,223.0,211.0,512.0,137.0,166.0,121.0,316.0,179.0,94.0,37.0,35.0
141.0,293.0,104.0,131.0,216.0,307.0,124.0,228.0,218.0,519.0,141.0,170.0,124.0,319.0,181.0,98.0,37.0,36.0
141.0,293.0,104.0,131.0,216.0,307.0,124.0,228.0,218.0,519.0,141.0,170.0,124.0,319.0,181.0,98.0,37.0,36.0
141.0,293.0,104.0,131.0,216.0,307.0,124.0,228.0,218.0,519.0,141.0,170.0,124.0,319.0,181.0,98.0,37.0,36.0
141.0,293.0,104.0,131.0,216.0,307.0,124.0,228.0,218.0,519.0,141.0,170.0,124.0,319.0,181.0,98.0,37.0,36.0
141.0,293.0,104.0,131.0,216.0,307.0,124.0,228.0,218.0,519.0,141.0,170.0,124.0,319.0,181.0,98.0,37.0,36.0
141.0,293.0,104.0,131.0,216.0,307.0,124.0,228.0,218.0,519.0,141.0,170.0,124.0,319.0,181.0,98.0,37.0,36.0
141.0,293.0,104.0,131.0,216.0,307.0,124.0,228.0,218.0,519.0,141.0,170.0,124.0,319.0,181.0,98.0,37.0,36.0
141.0,293.0,104.0,131.0,216.0,307.0,124.0,228.0,218.0,519.0,141.0,170.0,124.0,319.0,181.0,98.0,37.0,36.0
198.0,406.0,151.0,184.0,292.0,363.0,175.0,350.0,287.0,696.0,330.0,219.0,176.0,460.0,252.0,152.0,46.0,60.0
198.0,406.0,151.0,184.0,292.0,363.0,175.0,350.0,287.0,696.0,330.0,219.0,176.0,460.0,252.0,152.0,46.0,60.0
198.0,406.0,151.0,184.0,292.0,363.0,175.0,350.0,287.0,696.0,330.0,219.0,176.0,460.0,252.0,152.0,46.0,60.0
198.0,406.0,151.0,184.0,292.0,363.0,175.0,350.0,287.0,696.0,330.0,219.0,176.0,460.0,252.0,152.0,46.0,60.0
222.0,471.0,179.0,217.0,314.0,384.0,209.0,419.0,320.0,772.0,364.0,279.0,201.0,517.0,302.0,179.0,54.0,64.0
222.0,471.0,179.0,217.0,314.0,384.0,209.0,419.0,320.0,772.0,364.0,279.0,201.0,517.0,302.0,179.0,54.0,64.0
222.0,471.0,179.0,217.0,314.0,384.0,209.0,419.0,320.0,772.0,364.0,279.0,201.0,517.0,302.0,179.0,54.0,64.0
222.0,471.0,179.0,217.0,314.0,384.0,209.0,419.0,320.0,772.0,364.0,279.0,201.0,517.0,302.0,179.0,54.0,64.0
266.0,554.0,204.0,238.0,365.0,399.0,241.0,485.0,399.0,913.0,429.0,331.0,234.0,578.0,383.0,212.0,66.0,76.0
